ID,Nombre,Componente,Precio
33,VITAMINLIFE,L-CARNITINE +CAFFEINE X60CAP.,$20.999
34,VITAMINLIFE,DAILY BIOTIC SENIOR X60TAB,$16.499
35,HELTY,Elderberry 1000mg, $7.999
36,PROBIOTIX,PROBIOTIX DAILY, $24.499
37,PROBIOTIX,PROBIOTIX HIGH POTENCY ., $27.999
38,MULTIFLORA,Multiflora Gotas 8 ml, $20.899
39,HELTY,Proteína de cañamo, $11.999
40,VITAMINLIFE,INMUNE PLUS X60 CÁPSULAS,$9.999
41,EXELMYO,Exelmyo, $24.999
42,ALOVIS,ALOVIS GEL OFTALMOLÓGICO 10 ML, $7.199
43,NEBUVIS,NEBUVIS SPRAY OFTÁLMICO, $10.199
44,OCUMIL,OCUMILL® GOTAS OFTÁLMICAS, $7.199
45,SODYAL,SODYAL GOTAS OFTÁLMICAS 10 ML, $10.199
46,HELTY,Vinagre de Manzana 500 mg X60 cápsulas, $7.999
47,HELTY,Curcuma Dorada 120 grs, $7.999
48,HELTY,Maqui Orgánico Pol 60 grs, $7.999
49,HELTY,Gotas de rescate mini, $7.999
50,HELTY,Propóleo Jengibre Vit.C SOL 120ml, $3.699
51,INFORTIN ACD,Vitaminas Acd Oral Gtas., $8.799
52,VITAMINLIFE,Vitamina C 500 Mg Chewable x 60 tabletas,$5.499
53,VITAMINLIFE,Vitamina D Drops,$15.899
54,VITAMINLIFE,Probiotic Gummies,$14.099
55,LIPONOX,Liponox Sport, $29.999
56,VITAMINLIFE,Caffeine,$11.599
57,ACCU-CHEK,Accu-Chek GUIDE x 50 Cintas,$46.199
58,ACCU-CHEK,Accu-Chek GUIDE x 25 Cintas,$31.499
59,ACCU-CHEK,Accu-Chek GUIDE monitor,$40.999
60,ARNIKA,Sport Crackling, $5.799
61,VITAMINLIFE,Avoplus,$20.999
62,HELTY,Pepa de calabza 1000 mg, $8.399
63,REGENESIS,Regenesis Next, $16.799
64,REGENESIS,Regenesis Max, $15.499
65,VITDE GOTAS,Suplemento Alimentario Vitamina D3 10 Ml, $14.999
66,XALURON,Pricipio Activo: ACIDO HIALURONICO, $10.099
67,HELTY,Solución de Hierbas con Miel, $3.499
68,HELTY,Jarabe Opuntia, $6.999
69,BEBESAL,Solución isotónica en spray, $15.299
70,MULTIFLORA,Multiflora Plus, $19.199
71,MULTIFLORA,Probioticos Flora Intestinal Oral Polvo Solido, $18.799
72,MULTIFLORA PLUS,Probioticos Flora Intestinal Oral Solido, $35.999
73,REGENESIS,Regenesis Up, $16.199
74,VITAMINLIFE,NUTRICOSMETIC - Super Collagen Shot,$26.299
75,HELTY,Propóleo Niños spray, $3.399
76,VITAMINLIFE,Carb Control,$15.799
77,VITAMINLIFE,Nutricosmetics Collagen & Maqui,$17.899
78,VITAMINLIFE,Nutricosmetics Leg Complex,$9.999
79,VITAMINLIFE,Nutricosmetics Nutri Complex H,$10.999
80,HELTY,Propóleo Jengibre spray, $3.899
81,BAGO,Formoline de 60 cápsulas,
82,BIOCEL,Biocel de 60 cápsulas, $13.599
83,CREVET LIGHT,Crevet light 500mg de 32 comprimidos masticables, $3.599
84,INFORVIT,Complemento alimentario de vitamina D3, $11.399
85,VITAMINLIFE,"L-Tryptophan, complemento alimenticio",$10.299
86,VITAMINLIFE,Vitamin c-1000 de 20 tabletas efervescentes,$3.999
87,GENACOL,Pricipio Activo: COLAGENO HIDROLIZADO, $24.899
88,HELTY,Castaño de indías gel de 60gr, $5.099
89,VANDESS,Complemento alimenticio específico para Cabellos y Uñas,$16.999
90,VITAMINLIFE,Alimento Deportivo Energy Max,$11.199
91,VITAMINLIFE,Men s daily one de 100 tabletas,$15.099
92,FREESTYLE LIBRE,Sensor Glucosa Flash,
93,VITAMINLIFE,B-complex,$9.699
94,VITAMINLIFE,Cloruro de magnesio de 90 cápsulas,$9.999
95,VITAMINLIFE,Aceite de krill 500mg,$14.999
96,FEELDERM,Capivit de 60 comprimidos,$17.899
97,VITAMINLIFE,Vitamina D3 de 90 Cápsulas Softgel,$13.499
98,MAVER,Probióticos kids, $10.000
99,FISIOLIMP,Pricipio Activo: CLORURO DE SODIO, $5.099
100,ACCU-CHEK,Softclix Lancetero,$13.199
101,ACCU-CHEK,Lancetero Fastclick,$14.699
102,ACCU-CHEK,Accu chek instant kit, $25.199
103,BEBESAL,Solución nasal para bebés, $3.399
104,BION,"Bion3 Senior con Vitaminas, Minerales, Ginseng y Probióticos por 30 comprimidos recubiertos",
105,EXELTIS CHILE,Regenesis, $15.499
106,FISIOMAR,Pricipio Activo: CLORURO DE SODIO, $11.399
107,FREESTYLE,Freestyle Optium glucosa de 25 cintas, $20.599
108,HELTY,Infusión Pectoral, $2.999
109,MAVER,Probiflora Cranberries, $16.097
110,MAVER,Probióticos Senior 50+, $9.999
111,MAVER,Probiflora adults de 30 cápsulas, $10.999
112,NEW SCIENCE                                         ,Qi max c de 30 cápsulas, $14.999
113,ONE TOUCH,Lancetas y Lanceteros Ultra Soft,$4.999
114,ONE TOUCH,Test Glucosa Cintas Reactivas Select Plus,$33.599
115,ONE TOUCH,Test Glucosa Cintas Reactivas Select Plus,$20.999
116,ONE TOUCH,Lancetas y Lanceteros Delica,$6.799
117,PILEXIL,"Pilexil Cápsulas, Suplemento alimenticio",$18.499
118,SHOT B,Shot B Total multivitamínico x30, $7.899
119,SHOT B,Shot B GS Ginseng multivitamínico x30, $8.199
120,VITAMINLIFE,Calcium 500mg con vitamina d200 de 20 tabletas efervescentes,$3.489
